TITLE,YEAR,DURATION,BUDGET,BOXOFFICE,GENRE,GENRE_COMPLEX,RATING,IMDB_VOTES,ACTORS
Fear and Desire ,1953,72,33,0,Drama,Drama | War,5.6,2.079,"Frank Silvera, Kenneth Harp, Virginia Leith, Paul Mazursky, Stephen Coit"
Killer's Kiss,1955,67,40,0,Drama,Crime | Drama | Film-Noir,6.7,10.638,"Jamie Smith, Frank Silvera, Irene Kane, Jerry Jarret, Mike Dana"
The Killing,1956,83,320,0,Thriller,Crime | Film-Noir | Thriller,8.1,40.759,"Sterling Hayden, Coleen Gray, Vince Edwards, Marie Windsor, Jay C. Flippen"
Paths of Glory,1957,88,850,0,Drama,Drama | War,8.5,72.249,"Ralph Meeker, Adolphe Menjou, Wayne Morris, Kirk Douglas, George MacReady"
Spartacus,1960,184,12000,60000,Adventure,Adventure | Biography | Drama,8,72.569,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov"
Lolita ,1962,152,2100,9250,Romance,Drama | Romance,6.7,24.437,"James Mason, Shelley Winters, Sue Lyon, Gary Cockrell, Jerry Stovin"
Dr. Strangelove,1964,90,1800,9440,Comedy,Comedy | War,8.6,231.79,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens"
2001: A Space Odyssey,1968,161,10500,190000,Adventure,Adventure | Mystery | Sci-Fi,8.4,253.251,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter"
A Clockwork Orange,1971,137,2200,26589,Drama,Crime | Drama | Sci-Fi,8.4,328.338,"Malcolm McDowell, Patrick Magee, Adrienne Corri, Michael Bates, Warren Clark"
Barry Lyndon  ,1975,184,11000,20000,Adventure,Adventure | Drama | Romance,8.1,64.023,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, Steven Berkoff"
Shining ,1980,144,19000,44000,Horror,Horror | Mystery,8.5,346.241,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson"
Full Metal Jacket,1987,116,30000,46300,Drama,Drama | War,8.4,280.283,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, Kevyn Howard, John Terry"
Eyes Wide Shut ,1999,159,65000,162000,Drama,Drama | Mystery | Thriller,7.2,154.685,"Nicole Kidman, Tom Cruise, Madison Eginton, Jackie Sawris, Sydney Pollack"