count_objects,count_objects_public,date_end,date_start,department_id,id,title,url
3,3,10/31/14,11/10/13,35347495,35474807,New York and the Gilded Age,http://collection.cooperhewitt.org/exhibitions/35474807/
3,3,7/26/14,4/30/14,35347495,35474645,The Unity of Nature: Alexander von Humboldt and the Americas,http://collection.cooperhewitt.org/exhibitions/35474645/
4,4,11/8/14,4/22/14,35347495,68255709,Thomas Cole and Frederic Church,http://collection.cooperhewitt.org/exhibitions/68255709/
1,1,7/8/14,11/4/13,0,51949793,cleopatra's needle,http://collection.cooperhewitt.org/exhibitions/51949793/
316,3,1/25/04,4/22/03,35347495,35350321,National Design Triennial: Inside Design Now,http://collection.cooperhewitt.org/exhibitions/35350321/
45,40,9/4/05,3/4/05,35347495,35350861,Hella Jongerius Selects: Works from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350861/
69,56,9/24/06,10/7/05,35347495,35350867,Yinka Shonibare,http://collection.cooperhewitt.org/exhibitions/35350867/
1,1,8/27/05,2/25/05,0,35350865,Thoroughly Modern: The New Women Art Students of Robert Henri,http://collection.cooperhewitt.org/exhibitions/35350865/
57,52,5/2/04,10/16/03,35347495,35350239,Nancy and Edwin Marks Collection Gallery: Treasures from the Collection,http://collection.cooperhewitt.org/exhibitions/35350239/
6,6,1/25/09,9/12/08,35347497,35350961,"Curators Select: Recent Acquisitions, 2003-2008",http://collection.cooperhewitt.org/exhibitions/35350961/
126,118,1/25/09,8/12/08,35347495,35350943,House Proud: 19th Century Watercolor Interiors from the Thaw Collection,http://collection.cooperhewitt.org/exhibitions/35350943/
73,50,9/7/09,3/6/09,35347495,35350959,Shahzia Sikander Selects: Works from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350959/
194,120,1/2/11,4/23/10,35347495,35350971,Ted Muehling Selects: Lobmeyr Glass from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350971/
90,73,9/10/08,11/9/07,35347495,35350753,Multiple Choice: From Sample to Product,http://collection.cooperhewitt.org/exhibitions/35350753/